dt_leitura;coordenadaId;termopar_1;termopar_2;termopar_3;termopar_amb
2021-09-13 00:00:01.28;1;44.70;42.10;40.60;26.30
2021-09-13 00:00:01.29;1;42.20;40.80;39.60;26.20
2021-09-13 00:00:01.30;1;41.00;39.50;38.60;26.20
2021-09-13 00:00:01.31;1;39.60;38.90;38.00;26.10
2021-09-13 00:00:01.32;1;38.70;37.90;37.60;26.20
2021-09-13 00:00:01.33;1;38.00;37.40;37.00;26.20
2021-09-13 00:00:01.34;1;37.20;37.10;36.70;26.20
2021-09-13 00:00:01.35;1;36.80;36.60;36.40;26.20
2021-09-13 00:00:01.36;1;36.40;36.40;36.30;26.20
2021-09-13 00:00:01.37;1;35.90;35.90;36.00;26.20
2021-09-13 00:00:01.38;1;35.70;35.80;35.90;26.20
2021-09-13 00:00:01.39;1;35.50;35.80;35.90;26.20
2021-09-13 00:00:01.40;1;35.30;35.70;35.80;26.20
2021-09-13 00:00:01.41;1;35.20;35.60;35.80;26.20
2021-09-13 00:00:01.42;1;35.10;35.60;35.70;26.10
2021-09-13 00:00:01.43;1;34.90;35.50;35.60;26.10
2021-09-13 00:00:01.44;1;34.90;35.50;35.60;26.10
2021-09-13 00:00:01.45;1;34.70;35.30;35.40;26.10
2021-09-13 00:00:01.46;1;34.50;35.20;35.30;26.10
2021-09-13 00:00:01.47;1;34.40;35.10;35.20;26.10
2021-09-13 00:00:01.48;1;34.20;35.10;35.20;26.10
2021-09-13 00:00:01.49;1;34.20;35.00;34.20;26.10
2021-09-13 00:00:01.50;1;34.10;35.00;34.20;26.10
2021-09-13 00:00:01.51;1;34.00;34.90;34.20;26.10
2021-09-13 00:00:01.52;1;34.00;34.90;34.20;26.10
2021-09-13 00:00:01.53;1;34.00;35.00;34.30;26.10
2021-09-13 00:00:01.54;1;34.00;35.00;34.40;26.10
2021-09-13 00:00:01.55;1;33.90;35.00;34.30;26.20
2021-09-13 00:00:01.56;1;33.80;34.90;34.20;26.10
2021-09-13 00:00:01.57;1;33.70;34.90;34.20;26.20
2021-09-13 00:00:01.58;1;33.70;35.00;34.20;26.10
2021-09-13 00:00:01.59;1;33.70;34.80;34.20;26.10
2021-09-13 00:00:01.60;1;33.60;34.80;34.00;26.00
2021-09-13 00:00:01.61;1;33.40;34.60;33.90;26.00
2021-09-13 00:00:01.62;1;33.30;34.50;33.80;26.10
2021-09-13 00:00:01.63;1;33.20;34.50;33.70;26.00
2021-09-13 00:00:01.64;1;33.20;34.50;33.70;26.10
2021-09-13 00:00:01.65;1;33.10;34.40;33.60;26.10
2021-09-13 00:00:01.66;1;33.00;34.50;33.90;26.10
2021-09-13 00:00:01.67;1;41.00;41.10;41.20;26.10
2021-09-13 00:00:01.68;1;49.30;47.50;55.80;26.10
2021-09-13 00:00:01.69;1;61.90;57.10;65.10;26.10
2021-09-13 00:00:01.70;1;70.20;63.40;77.60;26.10
2021-09-13 00:00:01.71;1;77.30;68.80;84.30;26.10
2021-09-13 00:00:01.72;1;85.00;74.60;88.80;26.10
2021-09-13 00:00:01.73;1;89.20;77.90;93.90;26.00
2021-09-13 00:00:01.74;1;94.70;80.60;96.60;26.00
